day,start_inventory,orders_received,demand,forecast,fulfilled,stockout,order_placed,end_inventory,holding_cost,stockout_cost,total_cost,service_level
0,10,0,0,0.12153818056010274,0,0,0,10,5.0,0.0,5.0,1.0
1,10,0,0,0.12400155002072127,0,0,0,10,5.0,0.0,5.0,1.0
2,10,0,0,0.12644056842036785,0,0,0,10,5.0,0.0,5.0,1.0
3,10,0,0,0.12885547647574372,0,0,0,10,5.0,0.0,5.0,1.0
4,10,0,0,0.13124651252400163,0,0,0,10,5.0,0.0,5.0,1.0
5,10,0,0,0.13361391254626828,0,0,0,10,5.0,0.0,5.0,1.0
6,10,0,1,0.13595791019093434,1,0,0,9,4.5,0.0,4.5,1.0
7,9,0,0,0.13827873679671407,0,0,0,9,4.5,0.0,4.5,1.0
8,9,0,0,0.1405766214154772,0,0,0,9,4.5,0.0,4.5,1.0
9,9,0,0,0.14285179083485486,0,0,0,9,4.5,0.0,4.5,1.0
10,9,0,0,0.14510446960062232,0,0,0,9,4.5,0.0,4.5,1.0
11,9,0,0,0.1473348800388602,0,0,0,9,4.5,0.0,4.5,1.0
12,9,0,0,0.14954324227789684,0,0,0,9,4.5,0.0,4.5,1.0
13,9,0,0,0.1517297742700336,0,0,0,9,4.5,0.0,4.5,1.0
14,9,0,0,0.1538946918130555,0,0,0,9,4.5,0.0,4.5,1.0
15,9,0,0,0.1560382085715292,0,0,0,9,4.5,0.0,4.5,1.0
16,9,0,0,0.15816053609789035,0,0,0,9,4.5,0.0,4.5,1.0
17,9,0,0,0.16026188385332268,0,0,0,9,4.5,0.0,4.5,1.0
18,9,0,0,0.1623424592284305,0,0,0,9,4.5,0.0,4.5,1.0
19,9,0,0,0.1644024675637069,0,0,0,9,4.5,0.0,4.5,1.0
20,9,0,0,0.16644211216979982,0,0,0,9,4.5,0.0,4.5,1.0
21,9,0,0,0.16846159434757732,0,0,0,9,4.5,0.0,4.5,1.0
22,9,0,0,0.17046111340799505,0,0,0,9,4.5,0.0,4.5,1.0
23,9,0,0,0.17244086669176692,0,0,0,9,4.5,0.0,4.5,1.0
24,9,0,0,0.17440104958884153,0,0,0,9,4.5,0.0,4.5,1.0
25,9,0,0,0.17634185555768597,0,0,0,9,4.5,0.0,4.5,1.0
26,9,0,0,0.178263476144379,0,0,0,9,4.5,0.0,4.5,1.0
27,9,0,0,0.18016610100151562,0,0,0,9,4.5,0.0,4.5,1.0
28,9,0,0,0.1820499179069245,0,0,0,9,4.5,0.0,4.5,1.0
29,9,0,0,0.1839151127822007,0,0,0,9,4.5,0.0,4.5,1.0
30,9,0,0,0.18576186971105493,0,0,0,9,4.5,0.0,4.5,1.0
